NAMOBJ,jumlah_ws,luas_ws_km2,jumlah_das,luas_das_km2
Pati,2,1572.9,20,1572.9
Pegunungan Arfak,1,3298.81,11,3298.81
Pegunungan Bintang,2,13751.92,4,13751.92
Pekalongan,2,892.91,6,892.91
Pelalawan,5,13262.11,21,13262.11
Pemalang,2,1137.41,11,1137.41
Penajam Paser Utara,1,3193.95,49,3193.95
Penukal Abab Lematang Ilir,1,1842.56,1,1842.56
Pesawaran,2,1288.0,136,1288.0
Pesisir Barat,3,2939.6,154,2939.6
Pesisir Selatan,4,6045.65,126,6045.65
Pidie,4,3177.4,36,3177.4
Pidie Jaya,3,939.0,11,939.0
Pinrang,2,1895.24,33,1895.24
Pohuwato,4,4370.36,99,4370.36
Polewali Mandar,2,2073.51,40,2073.51
Ponorogo,2,1418.62,5,1418.62
Poso,4,7545.91,44,7545.91
Pringsewu,2,617.19,5,617.19
Probolinggo,4,1724.51,32,1724.51
Pulang Pisau,3,9649.56,17,9649.56
Pulau Morotai,1,2337.32,251,2337.32
Pulau Taliabu,1,2985.75,249,2985.75
Puncak,3,7701.03,3,7701.03
Puncak Jaya,2,5986.19,2,5986.19
Purbalingga,2,805.76,2,805.76
Purwakarta,1,993.09,3,993.09
Purworejo,2,1081.97,5,1081.97
Raja Ampat,1,7442.24,3534,7442.24
Rejang Lebong,2,1559.42,4,1559.42
Rembang,2,1037.54,30,1037.54
Rokan Hilir,3,9068.46,27,9068.46
Rokan Hulu,3,7658.15,3,7658.15
Rote Ndao,1,1286.39,188,1286.39
Sabu Raijua,1,460.96,70,460.96
Sambas,1,5933.36,30,5933.36
Samosir,2,1850.04,2,1850.04
Sampang,1,1228.25,50,1228.25
Sanggau,2,12452.22,2,12452.22
Sarmi,1,14068.35,48,14068.35
Sarolangun,2,5935.89,3,5935.89
Sekadau,2,5979.04,2,5979.04
Seluma,3,2432.15,12,2432.15
Semarang,4,1019.27,9,1019.27
Seram Bagian Barat,1,5016.92,565,5016.92
Seram Bagian Timur,1,5725.45,278,5725.45
Serang,2,1469.91,85,1469.91
Serdang Bedagai,2,1949.16,8,1949.16
Seruyan,4,15215.16,33,15215.16
Siak,4,7805.54,8,7805.54
Sidenreng Rappang,2,1832.3,10,1832.3
Sidoarjo,1,724.04,2,724.04
Sigi,3,5225.43,16,5225.43
Sijunjung,3,3150.58,3,3150.58
Sikka,1,1671.15,285,1671.15
Simalungun,4,4601.48,9,4601.48
Simeulue,1,1821.75,274,1821.75
Sinjai,2,865.24,38,865.24
Sintang,5,22025.79,5,22025.79
Situbondo,2,1653.23,77,1653.23
Sleman,2,573.75,3,573.75
Solok,4,3590.4,10,3590.4
Solok Selatan,2,3282.14,6,3282.14
Soppeng,2,1385.55,7,1385.55
Sorong,1,7564.19,241,7564.19
Sorong Selatan,1,6570.18,7,6570.18
Sragen,2,994.57,2,994.57
Subang,2,2165.55,11,2165.55
Sukabumi,3,4164.15,150,4164.15
Sukamara,1,3309.26,16,3309.26
Sukoharjo,2,493.53,2,493.53
Sulawesi Selatan,1,0.25,1,0.25
Sumatera Barat,2,0.66,4,0.66
Sumatera Utara,1,1.45,5,1.45
Sumba Barat,1,757.41,86,757.41
Sumba Barat Daya,1,1383.31,16,1383.31
Sumba Tengah,1,1789.66,82,1789.66
Sumba Timur,1,6983.8,301,6983.8
Sumbawa,1,6655.92,284,6655.92
Sumbawa Barat,1,1743.58,60,1743.58
Sumedang,3,1566.2,6,1566.2
Sumenep,1,2084.02,262,2084.02
Supiori,1,660.5,185,660.5
Tabalong,2,3473.07,2,3473.07
Tabanan,1,849.31,38,849.31
Takalar,1,555.43,68,555.43
Tambrauw,1,11954.82,128,11954.82
Tana Tidung,2,3504.33,26,3504.33
Tana Toraja,3,2043.62,4,2043.62
Tanah Bumbu,2,4884.11,45,4884.11
Tanah Datar,3,1377.19,4,1377.19
Tanah Laut,2,3839.04,27,3839.04
Tangerang,2,1027.76,10,1027.76
Tanggamus,3,2947.59,470,2947.59
Tanjung Jabung Barat,3,5546.06,7,5546.06
Tanjung Jabung Timur,3,4546.58,7,4546.58
Tapanuli Selatan,3,4201.03,5,4201.03
Tapanuli Tengah,2,2308.36,76,2308.36
Tapanuli Utara,3,3895.6,9,3895.6
Tapin,1,2155.94,1,2155.94
Tasikmalaya,3,2705.86,23,2705.86
Tebo,4,6103.74,4,6103.74
Tegal,1,983.9,11,983.9
Teluk Bintuni,2,19924.26,71,19924.26
Teluk Wondama,2,4847.34,364,4847.34
Temanggung,4,864.83,6,864.83
Timor Tengah Selatan,2,3933.15,38,3933.15
Timor Tengah Utara,2,2623.2,19,2623.2
Toba,2,2291.62,3,2291.62
Tojo Una Una,3,5572.86,636,5572.86
Toli Toli,1,3700.05,177,3700.05
Tolikara,2,2990.01,2,2990.01
Toraja Utara,4,1289.13,6,1289.13
Trenggalek,2,1249.23,141,1249.23
Tuban,2,1973.5,13,1973.5
Tulang Bawang,2,3116.06,6,3116.06
Tulang Bawang Barat,2,1257.09,3,1257.09
Tulungagung,1,1144.53,46,1144.53
Wajo,1,2608.71,21,2608.71
Wakatobi,1,450.44,137,450.44
Waropen,2,10778.77,26,10778.77
Way Kanan,2,3522.11,3,3522.11
Wonogiri,2,1905.77,9,1905.77
Wonosobo,3,1011.62,8,1011.62
Yahukimo,2,16365.94,2,16365.94
Yalimo,2,3148.31,2,3148.31
