nama_das,nama_ws_induk,luas_das_km2
WAE SAMAL,WS AMBON-SERAM,345.36
WAE MALA,WS AMBON-SERAM,334.59
WAE TOLUARANG,WS AMBON-SERAM,223.73
WAE BOBI,WS AMBON-SERAM,320.74
WAE AKE TERNATE,WS AMBON-SERAM,221.33
WAE KAWA,WS AMBON-SERAM,220.06
WAE RIUAPA,WS AMBON-SERAM,194.5
WAE KUWA,WS AMBON-SERAM,206.78
WAE MATAKABO,WS AMBON-SERAM,180.38
WAE LOFIN,WS AMBON-SERAM,115.89
WAE UWE,WS AMBON-SERAM,167.12
WAE SARIPOETIH,WS AMBON-SERAM,164.34
WAE MAKINA,WS AMBON-SERAM,158.23
WAE ETI,WS AMBON-SERAM,144.82
WAE PANA,WS AMBON-SERAM,137.68
WAE BOTI,WS AMBON-SERAM,240.55
WAE LAU SUANGGI,WS AMBON-SERAM,143.01
WAE TIBI,WS AMBON-SERAM,134.29
WAE SALAWAI,WS AMBON-SERAM,131.5
WAE KABA,WS AMBON-SERAM,128.63
WAE BOLIFAR,WS AMBON-SERAM,122.69
WAE TINOPA,WS AMBON-SERAM,312.14
WAE FUFA,WS AMBON-SERAM,114.67
WAE SALAS,WS AMBON-SERAM,107.65
WAE NIFF,WS AMBON-SERAM,105.55
WAE LATA,WS AMBON-SERAM,101.87
WAE OELI,WS AMBON-SERAM,101.52
WAE HINUA,WS AMBON-SERAM,96.53
WAE DAWANG KABA,WS AMBON-SERAM,92.33
WAE TUM,WS AMBON-SERAM,85.65
WAE KABA DUA,WS AMBON-SERAM,85.21
WAE NATA,WS AMBON-SERAM,84.06
WAE MULA KUHU,WS AMBON-SERAM,82.89
WAE MEER,WS AMBON-SERAM,81.12
WAE BABA,WS AMBON-SERAM,80.78
WAE SUPE,WS AMBON-SERAM,75.13
WAE LOLA BESAR,WS AMBON-SERAM,73.57
WAE SIHTALAN,WS AMBON-SERAM,72.74
WAE TEUN KEZANG,WS AMBON-SERAM,72.39
WAE UTA,WS AMBON-SERAM,62.78
WAE WAULU YALA,WS AMBON-SERAM,64.8
WAE DAU,WS AMBON-SERAM,65.56
WAE BELI,WS AMBON-SERAM,99.14
WAE LATA UWAO,WS AMBON-SERAM,64.36
WAE ARKAYATI,WS AMBON-SERAM,64.49
WAE IRA,WS AMBON-SERAM,62.83
WAE ARU LIHA,WS AMBON-SERAM,62.95
WAE MAKARIKI,WS AMBON-SERAM,62.21
WAE PALU,WS AMBON-SERAM,58.28
WAE BULA BESAR,WS AMBON-SERAM,57.11
WAE SAMU,WS AMBON-SERAM,60.2
WAE ELA,WS AMBON-SERAM,48.85
WAE OSON,WS AMBON-SERAM,56.42
WAE SELOR,WS AMBON-SERAM,56.05
WAE AMA,WS AMBON-SERAM,55.99
WAE TIHUA,WS AMBON-SERAM,55.84
WAE LALA SOSFAT,WS AMBON-SERAM,48.69
ENEE SETA,WS AMBON-SERAM,55.1
WAE NYAKA LESA,WS AMBON-SERAM,54.48
WAE TUN,WS AMBON-SERAM,49.78
WAE ROISI,WS AMBON-SERAM,48.69
WAE MAPILU TOLOHIL,WS AMBON-SERAM,46.99
WAE MASIKA,WS AMBON-SERAM,47.88
WAE SIATELE FUHMA,WS AMBON-SERAM,44.45
WAE KALISAMA,WS AMBON-SERAM,44.8
WAE ASAUDE,WS AMBON-SERAM,46.58
WAE MOMOKANI NATA,WS AMBON-SERAM,43.65
WAE SATU,WS AMBON-SERAM,43.61
WAE WUSA,WS AMBON-SERAM,43.55
WAE SAPALEWA,WS AMBON-SERAM,41.6
WAE KETA SIA,WS AMBON-SERAM,40.86
WAE EPE MUTOKE,WS AMBON-SERAM,40.25
WAE YOLE,WS AMBON-SERAM,39.96
WAE MALA,WS AMBON-SERAM,38.56
WAE WEYOTE TALI,WS AMBON-SERAM,37.35
WAE SAMOSIN DAWANG,WS AMBON-SERAM,37.28
WAE NAMATIMUR,WS AMBON-SERAM,36.7
WAE SELAGOR,WS AMBON-SERAM,36.68
WAE GEGON,WS AMBON-SERAM,36.6
WAE LONING TENGAH,WS AMBON-SERAM,36.4
WAE PANOWELO TOTUN,WS AMBON-SERAM,35.34
WAE BATUITAM,WS AMBON-SERAM,38.95
WAE SAWAN LUBIS,WS AMBON-SERAM,34.89
WAE MITIHU ULE,WS AMBON-SERAM,33.47
WAE MIKA,WS AMBON-SERAM,33.19
WAE HANU,WS AMBON-SERAM,32.21
AIR SELATI,WS AMBON-SERAM,32.1
WAE ELEUW,WS AMBON-SERAM,31.77
WAE PUORU,WS AMBON-SERAM,31.23
WAE SAPOLOSE,WS AMBON-SERAM,30.56
WAE HUI FESAN,WS AMBON-SERAM,32.87
WAE FOSA,WS AMBON-SERAM,30.1
WAE YALA,WS AMBON-SERAM,29.82
WAE SUMA,WS AMBON-SERAM,29.5
WAE UPA JANA,WS AMBON-SERAM,28.48
WAE LAALA ROTAN,WS AMBON-SERAM,28.18
